
compound	frequency	WIKIDATA_query	WIKIDATA_id	PubChem_CID	PubChem_cmpname
alpha-pinene	127	(+)-.alpha.-pinene	Q2095629	6654	alpha-pinene
beta-pinene	118	beta-pinene	Q300928	14896	beta-pinene
limonene	117	(.plusminus.)-limonene	Q278809	22311	limonene
linalool	110	(+/-)-linalool	Q410932	6549	linalool
caryophyllene oxide	102	.beta.-caryophyllene oxide	Q27136294	1742210	caryophyllene oxide
gamma-terpinene	96	.gamma.-terpinene	Q423975	7461	gamma-terpinene
camphene	90	camphene	Q416775	6616	camphene
sabinene	86	sabinene	Q421278	18818	sabinene
beta-caryophyllene	86	(+)-beta-caryophyllene	Q27132453	5281515	beta-caryophyllene
germacrene d	82	germacrene d	Q27121451	5317570	germacrene d
p-cymene	81	p-cymene	Q284072	7463	p-cymene
spathulenol	78	spathulenol	Q1376658	92231	spathulenol
1,8-cineole	76	1,8-cineole	not found	not found	not found
alpha-terpineol	75	alpha-terpineol	Q27109437	17100	alpha-terpineol
delta-cadinene	74	delta-cadinene	Q74417605	441005	(+)-delta-cadinene
alpha-humulene	70	humulene	Q1995108	5281520	humulene
camphor	67	camphor	Q181559	2537	camphor
myrcene	66	myrcene	Q424577	31253	myrcene
beta-elemene	65	beta-elemene	Q72470661	6918391	beta-elemene
alpha-terpinene	63	.alpha.-terpinene	Q423851	7462	alpha-terpinene
alpha-phellandrene	61	(-)-.alpha.-phellandrene	Q25933788	7460	alpha-phellandrene
bicyclogermacrene	61	bicyclogermacrene	Q27132747	13894537	bicyclogermacrene
alpha-copaene	59	copaene	Q5168276	70678558	alpha-copaene
terpinolene	57	terpinolene	Q2405051	11463	terpinolene
terpinen-4-ol	55	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
borneol	51	borneol	Q27103499	64685	isoborneol
eugenol	48	eugenol	Q423357	3314	eugenol
alpha-thujene	44	alpha-thujene	Q27121796	17868	alpha-thujene
thymol	41	thymol	Q408883	6989	thymol
carvacrol	40	carvacrol	Q225543	10364	carvacrol
aromadendrene	40	allo-aromadendrene	Q67879598	91354	aromadendrene
gamma-cadinene	40	(+)-.gamma.-cadinene	Q27132468	6432404	gamma-cadinene
bornyl acetate	39	(.plusminus.)-bornyl acetate	Q780165	6448	bornyl acetate
beta-bisabolene	39	.beta.-bisabolene	Q11595687	10104370	beta-bisabolene
alpha-cadinol	39	(-)-.alpha.-cadinol	Q4734900	10398656	alpha-cadinol
beta-selinene	36	(+)-beta-selinene	Q27108640	442393	beta-selinene
(e)-nerolidol	33	nerolidol	Q72494054	5284507	3,7,11-trimethyldodeca-1,6,10-trien-3-ol
alpha-muurolene	33	alpha-muurolene	Q27133436	12306047	alpha-muurolene
gamma-muurolene	33	gamma-muurolene	Q27133437	12313020	gamma-muurolene
beta-myrcene	32	myrcene	Q424577	31253	myrcene
beta-phellandrene	31	.beta.-phellandrene	Q19606727	11142	beta-phellandrene
(e)-beta-ocimene	31	(3e)-.beta.-ocimene	Q26777012	5281553	beta-ocimene
elemol	30	elemol	Q27282855	92138	elemol
piperitone	28	dl-piperitone	Q2041498	6987	piperitone
alpha-cubebene	28	(-)-.alpha.-cubebene	Q27108605	442359	caswell no. 264ab
germacrene b	28	germacrene	Q5550970	5281519	germacrene b
delta-3-carene	27	carene	Q19414	26049	3-carene
delta-elemene	26	.delta.-elemene	Q63409802	12309449	delta-elemene
myrtenol	25	myrtenol	Q15425810	10582	myrtenol
globulol	25	globulol	Q27278826	101716	globulol
geraniol	25	geraniol	Q410836	637566	geraniol
caryophyllene	25	caryophyllene	Q421614	5281515	beta-caryophyllene
(z)-beta-ocimene	25	(3z)-.beta.-ocimene	Q26777005	5320250	(z)-beta-ocimene
carvone	24	(.plusminus.)-carvone	Q416800	7439	carvone
alpha-selinene	23	.alpha.-selinene	Q7448480	10856614	alpha-selinene
beta-bourbonene	22	beta-bourbonene	Q27160892	62566	beta-bourbonene
gamma-elemene	22	elemenes	Q56009873	6432312	gamma-elemene
trans-pinocarveol	21	trans-(-)-pinocarveol	Q27156713	10931630	pinocarveol, cis-(+/-)-
viridiflorol	21	viridiflorol	Q27280014	11996452	viridiflorol
cis-sabinene hydrate	21	cis-sabinene hydrate	Q72266305	101629835	cis-sabinene hydrate
neral	20	neral	Q27104033	643779	neral
citronellol	19	(+/-)-.beta.-citronellol	Q27122080	8842	citronellol
beta-cubebene	19	beta-cubebene	Q27108624	93081	beta-cubebene
geranyl acetate	19	geranyl acetate	Q426437	1549026	geranyl acetate
verbenene	19	verbenene	Q67880188	6427476	verbenene
myristicin	18	myristicin	Q414057	4276	myristicin
beta-eudesmol	18	.beta.-eudesmol	Q27108630	91457	beta-eudesmol
alpha-eudesmol	18	.alpha.-eudesmol	Q27108609	92762	alpha-eudesmol
beta-sesquiphellandrene	18	beta-sesquiphellandrene	Q27133237	12315492	(-)-beta-sesquiphellandrene
myrtenal	17	myrtenal	Q27270628	61130	myrtenal
tricyclene	17	tricyclene	Q27133173	79035	tricyclene
nerol	17	nerol	Q415359	643820	nerol
neryl acetate	17	neryl acetate	Q1368877	1549025	neryl acetate
alpha-bisabolol	17	levomenol	not found	1549992	bisabolol
germacrene a	17	germacrene a	Q27116867	9548706	(-)-germacrene a
nonanal	16	nonanal	Q419668	31289	nonanal
alpha-muurolol	16	not found	not found	100949538	(1r,4r,4ar,6s,8ar)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2h-naphthalen-1-ol
eucalyptol	15	eucalyptol	Q161572	2758	eucalyptol
methyl eugenol	15	methyl eugenol	Q419829	7127	methyleugenol
linalyl acetate	15	(.plusminus.)-linalyl acetate	Q188314	8294	linalyl acetate
4-terpineol	15	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
pinocarvone	15	pinocarvone	Q27104017	121719	pinocarvone
(e)-beta-farnesene	15	(6e)-.beta.-farnesene	Q27108631	5281517	beta-farnesene
cubenol	15	not found	not found	11770062	cubenol
citronellal	14	(rs)-citronellal	Q61651085	7794	citronellal
alpha-terpinolene	14	terpinolene	Q2405051	11463	terpinolene
pulegone	14	pulegone	Q413816	442495	pulegone
curzerene	14	curzerene	Q15410912	572766	curzerene
geranial	14	geranial	Q410888	638011	citral
nerolidol	14	nerolidol	Q72494054	5284507	3,7,11-trimethyldodeca-1,6,10-trien-3-ol
alpha-guaiene	14	alpha-guaiene	Q5613309	5317844	alpha-guaiene
trans-sabinene hydrate	14	(+)-trans-4-thujanol	Q27276574	12315151	trans-sabinene hydrate
o-cymene	13	o-cymene	Q27161449	10703	o-cymene
p-cymen-8-ol	13	p-cymen-8-ol	Q27265496	14529	2-(4-methylphenyl)propan-2-ol
1-octen-3-ol	13	oct-1-en-3-ol	Q161667	18827	1-octen-3-ol
alpha-terpinyl acetate	13	not found	not found	111037	alpha-terpinyl acetate
tau-cadinol	13	tau-cadinol	Q55995547	160799	cedrelanol
1-epi-cubenol	13	not found	not found	519857	1-isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2h)-naphthalenol
phytol	13	phytol	Q415945	5280435	phytol
beta-ocimene	13	beta-ocimene	Q27108635	5281553	beta-ocimene
gamma-eudesmol	13	gamma-eudesmol	Q27131974	6432005	gamma-eudesmol
valencene	13	valencene	Q289496	9855795	valencene
viridiflorene	13	ledene	Q27132626	10910653	viridiflorene
alpha-cadinene	13	(+)-.alpha.-cadinene	Q27149802	12306048	alpha-cadinene
allo-aromadendrene	13	allo-aromadendrene	Q67879598	42608158	allo-aromadendrene
menthol	12	menthol	Q407418	1254	menthol
(e)-caryophyllene	12	caryophyllene	Q421614	5281515	beta-caryophyllene
alpha-farnesene	12	.alpha.-farnesene	Q419814	5281516	alpha-farnesene
alpha-calacorene	12	3,4-dihydrocadalene	Q27160655	12302243	alpha-calacorene
alpha-gurjunene	12	(-)-alpha-gurjunene	Q27131296	15560276	(-)-alpha-gurjunene
beta-copaene	12	.beta.-copaene	Q27277937	57339298	beta-ylangene
alpha-amorphene	12	(-)-alpha-amorphene	Q74417798	not found	not found
palmitic acid	11	palmitic acid	Q209727	985	palmitic acid
dillapiole	11	dillapiole	Q419537	10231	dillapiol
ar-curcumene	11	.alpha.-curcumene	Q27132148	92139	alpha-curcumene
ledol	11	ledol	Q19291552	92812	ledol
guaiol	11	guaiol	Q5613321	227829	guaiol
d-limonene	11	(+)-limonene	Q27888324	440917	d-limonene
humulene epoxide ii	11	humulene epoxide ii	Q72482711	10704181	humulene epoxide ii
decanal	10	decanal	Q903525	8175	decanal
